pt,en
"cabe a nós políticos assumir as nossas responsabilidades, sem bairrismos","it is up to us politicians to assume our responsibilities, without parochialism"
"ter como desígnio nacional o objectivo de fazer da am lisboa a maior e mais próspera da península ibérica, e da am do porto a líder inequívoca do noroeste do mesmo espaço geográfico, resgatando esse lugar às maiores cidades galegas","having as a national objective the objective of making am lisbon the largest and most prosperous of the Iberian peninsula, and am do porto the unequivocal leader of the northwest of the same geographic space, rescuing this place from the largest Galician cities"
a legislação penal já prevê penas que podem ir até aos doze anos pelo crime de fogo posto,criminal legislation already provides for penalties of up to twelve years for the crime of arson.
penas duras aplicadas aos seus executores não apagam nem evitam fogos,harsh penalties applied to their executioners do not put out or prevent fires
"se os evitassem, não existiam incendiários","if you avoided them, there were no arsonists"
falta mais e melhor educação ambiental no país,lack of more and better environmental education in the country
todos os dias se assiste a pequenas condutas susceptíveis de causar estragos ao meio ambiente,every day we witness small pipelines capable of causing damage to the environment
"somadas no seu conjunto, podem tornar-se altamente lesivas","taken together, can become highly harmful"
individualmente insignificantes,individually insignificant
o delito ambiental não se produz exclusivamente devido a uma conduta individual,the environmental crime does not occur exclusively due to an individual behavior
"para se produzir dano num bem jurídico colectivo (como queimar uma floresta, por exemplo), um grande número de pessoas pode ter infringido normas jurídicas","to produce damage to a collective legal asset (such as burning a forest, for example), a large number of people may have violated legal norms"
"o proprietário rural que nos seus terrenos acumulou lenhas, sobras de exploração florestal ou agrícola e substâncias inflamáveis como, por exemplo, gasóleo","the rural owner who has accumulated firewood, forest or agricultural leftovers and flammable substances on his land, such as diesel"
a autarquia que não contratou o guarda-florestal,the municipality that did not hire the ranger
"ano após ano, o planeta vai aquecendo","year after year, the planet is warming"
"no futuro, os incêndios passem a ser muito mais frequentes e dramáticos do que os actuais","in the future, fires will become much more frequent and dramatic than the current ones."
"a solução, para além da vigilância, passará, em meu entender, por sanções administrativas e por uma efectiva educação ambiental","the solution, in addition to surveillance, will, in my opinion, involve administrative sanctions and effective environmental education"
"a responsabilidade ambiental não é pertença do direito penal, nem este, muito menos, dispõe de soluções mágicas para sarar feridas sociais","environmental responsibility does not belong to criminal law, nor does the latter, much less, have magical solutions to heal social wounds"
o paradigma a mudar será o da responsabilização,the paradigm to change will be that of accountability
"responsabilizar todos aqueles que verdadeiramente ganham com os incêndios florestais, e aos quais deve ser então imputada a tal responsabilidade civil de que falava a ministra pelo dano ambiental que causaram","to hold all those who truly gain from forest fires accountable, and to whom the civil liability mentioned by the minister for the environmental damage they caused should be imputed."
"criminalizar, sim, o factor da ignição, seja ela criminosa ou acidental","criminalize, yes, the ignition factor, be it criminal or accidental"
"não esquecer nunca as empresas, os empresários, os políticos, que beneficiam directa ou indirectamente da dita ignição","never forget the companies, entrepreneurs, politicians, who benefit directly or indirectly from this ignition"
"até o presidente da república, jurista de topo e político experiente, não resistiu em lançar uma mancheia de achas para a fogueira","even the president of the republic, a top jurist and experienced politician, could not resist throwing a handful of logs into the fire."
«se trate a sério da eficácia da justiça em relação aos eventuais responsáveis»,"""it is serious about the effectiveness of justice in relation to those who may be responsible"""
afirmar «há que punir em conformidade»,"say ""we must punish accordingly"""
"juristas que percebam de direito da agricultura e ambiente, não haverá assim tantos por aí","jurists who understand agricultural and environmental law, there won't be that many out there"
bastará consultar os sites das sociedades de advogados para se ficar esclarecido,it will be enough to consult the websites of the law firms to be clarified
juristas há muitos,jurists there are many
o direito penal actua tardiamente,criminal law acts late
não trazendo nenhum benefício à floresta ardida,bringing no benefit to the burned forest
"é do conhecimento geral que, ano após ano, o planeta vai aquecendo","It is common knowledge that, year after year, the planet is warming"
os incêndios passem a ser muito mais frequentes e dramáticos do que os actuais,fires will become much more frequent and dramatic than the current ones
a responsabilidade ambiental não é pertença do direito penal,environmental responsibility is not part of criminal law
"nem este, muito menos, dispõe de soluções mágicas para sarar feridas sociais","neither this one, much less, has magical solutions to heal social wounds"
responsabilizar todos aqueles que verdadeiramente ganham com os incêndios florestais,hold all those who truly gain from the wildfires accountable
o incentivo da repressão penal acaba só por trazer consequências desastrosas para a natureza,encouraging penal repression ends up only bringing disastrous consequences for nature
"servindo apenas para encobrir o que não se fez e o que, talvez, jamais venha a fazer-se","serving only to cover up what was not done and what, perhaps, will never be done."
"quando somadas no seu conjunto, podem tornar-se altamente lesivas","when added together, they can become highly harmful"
"quando garrafas de plástico são lançadas por vários passeantes na mesma mata, o mesmo acto, que não deixa de ser poluidor na mesma, já causará, sem qualquer sombra de dúvida, graves estragos ambientais","when plastic bottles are thrown by several walkers in the same forest, the same act, which is nonetheless polluting in the same forest, will, without any shadow of a doubt, already cause serious environmental damage."
nem as próprias faculdades se preocupam em estudar o direito da agricultura e ambiente,not even the faculties themselves bother to study the law of agriculture and the environment
o que é que tem esse ramo do direito a ver com incêndios? a resposta não é fácil,what does this branch of law have to do with fires? the answer is not easy
sim de toda uma comunidade e de cada um dos seus membros,yes of an entire community and each of its members
"baseia-se, entre outros, no princípio da responsabilização pelo dano ambiental","is based, among others, on the principle of liability for environmental damage"
"esse ramo do direito não protege exclusivamente nem o interesse público (direito público), nem o interesse privado (direito privado)",this branch of law protects neither the public interest (public law) nor the private interest (private law) exclusively.
"antes protegendo interesses difusos, cuja efectividade não é exclusiva de um titular","rather protecting diffuse interests, the effectiveness of which is not exclusive to a holder"
é responsabilizar todos aqueles que verdadeiramente ganham com os incêndios florestais,is to hold all those who truly gain from forest fires accountable
aos quais deve ser então imputada a tal responsabilidade civil de que falava a ministra pelo dano ambiental que causaram,to which the civil liability mentioned by the minister for the environmental damage they caused must be imputed
"muitos profissionais da saúde — mas também pais, professores e outros cidadãos informados — esperam que os movimentos “rápidos, altos e fortes” dos atletas de elite possam inspirar quem os vê a serem, também eles, fisicamente mais ativos","Many healthcare professionals—but also parents, teachers, and other informed citizens—hope that the “fast, tall, and strong” movements of elite athletes can inspire those who see them to be more physically active, too."
"atualmente, a atividade física não é uma mera questão de estilo de vida ou uma moda associada ao culto do corpo","nowadays, physical activity is not just a matter of lifestyle or a fad associated with the cult of the body."
"segundo as nações unidas, a oms, e agora também para a direção-geral da saúde em portugal, é uma verdadeira prioridade de saúde pública","according to the united nations, the WHO, and now also for the directorate-general of health in portugal, is a real public health priority"
a diferença verifica-se em dois aspetos essenciais,the difference can be seen in two essential aspects
a existência de um programa nacional para a promoção da atividade física com um plano de ação pronto a operacionalizar,the existence of a national program for the promotion of physical activity with an action plan ready to be operationalized
a existência de financiamento à altura das necessidades,the existence of financing that meets the needs
o país não parte do zero,the country does not start from scratch
a educação física tem desde há décadas cumprido o papel de promover o desenvolvimento harmonioso dos jovens,Physical education has for decades played the role of promoting the harmonious development of young people
o desporto escolar tem estimulado muitos novos praticantes de desporto,school sport has stimulated many new sports practitioners
o programa desporto para todos do instituto português do desporto e juventude tem também dedicado recursos públicos à promoção da atividade física,the sport for all program of the portuguese institute for sport and youth has also dedicated public resources to the promotion of physical activity
criação de ciclovias e passeios pedonais,creation of cycle paths and footpaths
a disponibilização de bicicletas públicas,the availability of public bicycles
provas abertas de corrida,open race events
ainda sem carreira profissional bem definida em portugal,still without a well-defined professional career in portugal
a integração do fisiologista do exercício no sistema de saúde é uma evolução incontornável,the integration of the exercise physiologist into the health system is an unavoidable evolution
a atividade física não é uma mera questão de estilo de vida ou uma moda associada ao culto do corpo,physical activity is not just a matter of lifestyle or a fad associated with the cult of the body
iniciativas de âmbito local como a criação de ciclovias e passeios pedonais,local initiatives such as the creation of cycle paths and footpaths
disponibilização de bicicletas públicas,availability of public bicycles
"a educação física tem desde há décadas cumprido o papel de promover o desenvolvimento harmonioso dos jovens, incluindo a literacia e as capacidades físicas","Physical education has for decades played the role of promoting the harmonious development of young people, including literacy and physical abilities"
muitas provas abertas de corrida,many open races
os governos avancem com planos e medidas para promover a atividade física e desportiva dos cidadãos,Governments come forward with plans and measures to promote physical and sporting activity among citizens
"esta é, aliás, uma das recomendações internacionais mais consistentes da última década em matéria de saúde pública","this is, in fact, one of the most consistent international recommendations of the last decade in terms of public health"
"como se comprova no recente número especial da revista lancet dedicado à atividade física, afirmar vontade política e implementar uma política eficaz não é a mesma coisa","As demonstrated in the recent special issue of the lancet magazine dedicated to physical activity, asserting political will and implementing an effective policy are not the same thing."
"a integração do fisiologista do exercício no sistema de saúde é uma evolução incontornável, das equipas dos cuidados de saúde primários (por exemplo, em programas de prevenção da diabetes nas usf) aos serviços hospitalares como os de cardiologia ou pediatria","the integration of the exercise physiologist into the health system is an unavoidable evolution, from primary health care teams (for example, in diabetes prevention programs at usf) to hospital services such as cardiology or pediatrics"
a vocação da política do atlântico e da política da europa voltam a estar na ordem do dia e constituem tema de debates nacionais e internacionais,the vocation of atlantic and european politics are once again on the agenda and are the subject of national and international debates
"a descolonização (inevitável mas tardia) e a entrada (necessária e urgente) na união europeia recolocaram, uma controvérsia que tem percorrido os séculos, que dividiu e continua a dividir henriquistas e pedristas","decolonization (inevitable but late) and entry (necessary and urgent) into the European Union replaced a controversy that has spanned the centuries, which divided and continues to divide henriquistas and pedristas"
"a viagem foi, ainda, decisiva para a ação que o infante d henrique viria a desempenhar",the trip was also decisive for the action that infante d henrique would come to play
"sem os livros e os mapas, trazidos pelo infante d. pedro, a aproximação com os cartógrafos judeus e outras informações náuticas e científicas, o infante d. henrique nunca teria iniciado e prosseguido os descobrimentos marítimos, a expansão de portugal no mundo","without the books and maps, brought by the infant d. pedro, the approach with the jewish cartographers and other nautical and scientific information, the infant d. henrique would never have started and continued the maritime discoveries, the expansion of portugal in the world"
"quase 600 anos depois, deparamos os mesmos condicionalismos estruturais","almost 600 years later, we face the same structural constraints"
os cavalos são outros,horses are different
são outros os coudéis,there are other coudels
são outras as bestas,there are other beasts
"mudaram, apenas, algumas denominações, transportes e indumentárias","changed, only some denominations, transports and clothes"
"os últimos governos encerram empresas e fábricas, revogaram contratos, despediram milhares e milhares de trabalhadores","the last governments shut down companies and factories, revoked contracts, laid off thousands and thousands of workers"
houve a emigração de desenhas de milhares de jovens qualificados,there was the emigration of drawings of thousands of qualified young people
"foram anuladas conquistas fundamentais na saúde, na educação, na segurança social e na cultura","fundamental achievements in health, education, social security and culture were annulled"
agravaram impostos,increased taxes
atingiram rendimentos e bens reais ou potenciais,achieved real or potential income and assets
"acentuaram o espírito punitivo, com raízes na inquisição e na pide","accentuated the punitive spirit, with roots in the inquisition and the pide"
a banca encontra-se desmantelada,the bank is dismantled
"responsáveis impunes, em liberdade, a coberto de atestados médicos, pagos a peso de ouro","with impunity, freed, covered by medical certificates, paid in gold"
se a situação de portugal não era satisfatória confrontámo-nos com uma situação abaixo dos limites aceitáveis,"if the situation in portugal was not satisfactory, we were faced with a situation below acceptable limits"
"volvidos 600 anos, após a carta de bruges, perduram as lacunas, os defeitos, os vícios que inviabilizam perspetivas para impedir os desgastes da rotina e estagnação","600 years later, after the bruges letter, the gaps, defects, vices remain that make prospects unfeasible to prevent the wear and tear of routine and stagnation"
ganharem mais amplitude e significado as advertências de d. pedro ao rei d. duarte e a todos quantos lhe sucederam em monarquia ou aos chefes de estado em regime republicano,the warnings of d. pedro to king d. duarte and all those who succeeded him in monarchy or heads of state in republican regime
"a análise e a hierarquização feitas por robert ricard não tiveram em vista abranger os governos dos últimos vinte, trinta ou quarenta anos","the analysis and hierarchy made by robert ricard were not intended to cover the governments of the last twenty, thirty or forty years"
"responsáveis impunes, em liberdade","with impunity, free"
datam de 1953,date from 1953
todas as homenagens foram prestadas ao infante d. henrique,all tributes were paid to infant d. Henrique
está por fazer a reparação devida à memória de d. pedro,repairs due to the memory of d. Peter
"traído e assassinado, às portas de lisboa","betrayed and murdered, at the gates of lisbon"
"o cadáver, entregue à voracidade dos cães e dos milhafres, a apodrecer dias e dias seguidos, nos campos de alfarrobeira","the corpse, given over to the voracity of dogs and kites, to rot for days and days in the carob fields"
o legislador não consegue prever todas as situações,the legislator cannot foresee all situations
"nem os magistrados podem ser máquinas silogísticas, nem os processos soluções de precisão matemática","neither magistrates can be syllogistic machines, nor processes solutions of mathematical precision."
"o processo de aplicação do direito deve ser uma obra de conformação do geral ao concreto, um trabalho permanente de adaptação e até de criação","the process of applying the law must be a work of conformation from the general to the concrete, a permanent work of adaptation and even of creation"
as leis e os seus mecanismos devem servir a justiça humana,laws and their mechanisms must serve human justice
"essa é, na verdade, sua única e fundamental razão de ser","this is, in fact, its only and fundamental reason for being."
chegou pois o tempo de impor um formalismo-qualitativo em detrimento de um formalismo cego,The time has come to impose a qualitative-formalism to the detriment of a blind formalism
o formalismo constitui o elemento fundador tanto da efetividade da tutela jurisdicional quanto da segurança,formalism constitutes the founding element of both the effectiveness of judicial protection and security
preocupa-me que o valor da segurança jurídica se traduza num imobilismo cego da justiça,I am concerned that the value of legal certainty translates into blind immobility of justice
manter meses a fio os arguidos em prisão preventiva,keep the defendants in preventive detention for months
decretado a “torto e a direito” a especial complexidade dos processos,decreed “left and right” the special complexity of the processes
formalismo positivista que cada vez mais caracteriza a nossa justiça penal,positivist formalism that increasingly characterizes our criminal justice
não ponho em causa que o formalismo constitui o elemento fundador tanto da efetividade da tutela jurisdicional quanto da segurança,I do not question that formalism constitutes the founding element of both the effectiveness of judicial protection and security
"preocupa-me que o valor da segurança jurídica se traduza num imobilismo cego da justiça, que revela incapacidade de acompanhar as mudanças na sociedade","I am concerned that the value of legal certainty translates into a blind immobility of justice, which reveals an inability to keep up with changes in society"
situações em que é a própria justiça que é atingida,situations in which justice itself is attained
"põe em causa a própria ordem jurídica, mormente no plano da efectividade da tutela jurisdicional","jeopardizes the legal order itself, especially in terms of the effectiveness of judicial protection"
nem os magistrados podem ser máquinas silogísticas,nor can magistrates be syllogistic machines
nem os processos soluções de precisão matemática,nor the processes mathematical precision solutions
gravidade dos factos que envolveram os filhos do embaixador do iraque,seriousness of the facts involving the children of the Iraqi ambassador
justificava-se plenamente uma maior elasticidade da justiça penal portuguesa,a greater elasticity of Portuguese criminal justice was fully justified
"se mostrou incapaz de promover uma mudança de paradigma, preferindo esperar pelo levantamento da imunidade diplomática dos agressores","proved incapable of promoting a paradigm shift, preferring to wait for the lifting of the diplomatic immunity of the aggressors"
"situação perniciosa, nefasta e manifestamente injusta","pernicious, harmful and manifestly unfair situation"
deve ser o interesse público a impor a manutenção ou a não aplicação da regra,it must be the public interest to impose the maintenance or non-application of the rule
"não pode ser vista como um valor absoluto, sagrado e abstrato","cannot be seen as an absolute, sacred and abstract value"
nesse esforço de equilíbrio deve ser tida em conta a apreciação da finalidade essencial dos institutos jurídicos,"in this effort of balance, the assessment of the essential purpose of legal institutes must be taken into account"
só com esse esforço é que a justiça se pode legitimar perante a sociedade,only with this effort can justice be legitimized before society
"a solução do dilema entre realização da justiça e o respeito pelo formalismo legal tem de radicar no sistema jurídico visto como um todo, nos princípios que dele emanam e nos valores sociais e culturais dominantes no seio da sociedade em cada momento da história","The solution to the dilemma between achieving justice and respecting legal formalism must be rooted in the legal system as a whole, in the principles that emanate from it, and in the social and cultural values ​​dominant within society at each moment in history."
"revela incapacidade de acompanhar as mudanças na sociedade, originando situações em que é a própria justiça que é atingida, o que no limite põe em causa a própria ordem jurídica, mormente no plano da efectividade da tutela jurisdicional","reveals an inability to keep up with changes in society, giving rise to situations in which justice itself is attained, which ultimately jeopardizes the legal order itself, especially in terms of the effectiveness of judicial protection"
"é necessário apelar à equidade, à finalidade essencial dos instrumentos jurídicos","it is necessary to appeal to equity, to the essential purpose of legal instruments"
deve ser tida em conta a apreciação da finalidade essencial dos institutos jurídicos,account should be taken of the assessment of the essential purpose of legal institutes
a gravidade dos factos que envolveram os filhos do embaixador do iraque,the seriousness of the events involving the children of the Iraqi ambassador
"módico de boa governança, algo que tem estado largamente ausente da discussão pública","modicum of good governance, something that has been largely absent from public discussion"
a experiência internacional atesta que a eficácia na gestão do fogo está associada a serviços florestais (sf) sólidos e com intervenção significativa no território,international experience attests that effective fire management is associated with solid forest services (sf) and with significant intervention in the territory
alterações institucionais tão frequentes manifestamente perturbam o funcionamento e comprometem a definição e o cumprimento de objectivos a longo prazo,such frequent institutional changes clearly disrupt the functioning and jeopardize the definition and fulfillment of long-term objectives
"os sf nacionais sofreram nas últimas 4 décadas frequentes alterações rumo ao minimalismo, indicando pouca compreensão do seu papel","national sfs have undergone frequent changes over the last 4 decades towards minimalism, indicating little understanding of their role"
a transferência do combate para os bombeiros em 1980/81 (perdendo-se o conhecimento de como combater o fogo na floresta),the transfer of combat to firefighters in 1980/81 (losing knowledge of how to fight forest fires)
o desmantelamento e regionalização da estrutura vertical em 1996,the dismantling and regionalization of the vertical structure in 1996
a “entrega” da guarda florestal e da rede de postos de vigia à gnr em 2006,the “handover” of the forest guard and the network of lookout posts to gnr in 2006
"a volatilidade da organização dos sf é uma constante desde 2003, com sucessivas reestruturações orgânicas e a fusão em 2012 com a conservação da natureza que resultou no atual (e futuro?) icnf","the volatility of the sf organization has been a constant since 2003, with successive organic restructurings and the merger in 2012 with nature conservation, which resulted in the current (and future?) icnf"
a instabilidade nas políticas,instability in policies
"diversa legislação e regulamentação e instrumentos de planeamento foram sendo introduzidos, com responsabilidades e competências dispersas por vários ministérios e organismos","various legislation and regulations and planning instruments were introduced, with responsibilities and competences dispersed by various ministries and bodies"
a produção de 6 documentos estratégicos florestais de âmbito nacional entre 2003 e 2006,the production of 6 strategic forestry documents of national scope between 2003 and 2006
a quantidade de conselhos consultivos (cinco entre 2003 e 2012),the number of advisory councils (five between 2003 and 2012)
as recomendações quase anuais da assembleia da república,the quasi-annual recommendations of the Assembly of the Republic
os planos regionais de ordenamento florestal nunca implementados e agora em revisão,regional forest management plans never implemented and now under review
a instabilidade do fundo florestal permanente — criado para custear a prevenção mas utilizado também para pagar despesas de (pré-)supressão de incêndios — cujo regulamento mudou 5 vezes numa década,the instability of the permanent forest fund — created to pay for prevention but also used to pay expenses for (pre-)suppression of fires — whose regulation changed 5 times in a decade
a vida curta e pouca massa crítica de iniciativas para melhorar a prevenção (gefoco) e o combate (gauf),short-lived and low critical mass of initiatives to improve prevention (gefocus) and combat (gauf)
"as iniciativas desgarradas que regularmente (des)aparecem, respeitantes por exemplo ao envolvimento do exército ou aos programas de sensibilização","the stray initiatives that regularly (dis)appear, concerning for example the involvement of the army or awareness programs"
"tanta impulsividade, inconstância e intermitência inviabiliza a continuidade e persistência das políticas","so much impulsiveness, inconstancy and intermittence makes the continuity and persistence of policies unfeasible"
desperdiça recursos,waste resources
desvia as entidades das suas funções centrais,diverts entities from their central functions
"este sistema carece de liderança, isto é, de um organismo de coordenação, bem como de um orçamento global","this system lacks leadership, i.e. a coordinating body, as well as an overall budget"
compromete o planeamento,compromises the planning
falta de visão conjunta,lack of joint vision
prejudica a compreensão da interdependência entre os pilares,undermines the understanding of the interdependence between the pillars
desequilibra os recursos que lhes são atribuídos,unbalances the resources assigned to them
impede uma cultura institucional de aceitação e assimilação de conhecimento,prevents an institutional culture of acceptance and assimilation of knowledge
a falta de uma estrutura orgânica funcional assegurada por uma só entidade,the lack of a functional organic structure ensured by a single entity
dispersa os esforços e recursos,disperses efforts and resources
mantém a massa crítica e o foco em níveis baixos,keeps critical mass and focus at low levels
dificulta a evolução técnica dos agentes envolvidos,hinders the technical evolution of the agents involved
obsta à integração prevenção-combate,prevents prevention-combat integration
impossibilita que existam recursos com capacidade operacional exclusiva e permanente e variando entre a prevenção e o combate,"makes it impossible to have resources with exclusive and permanent operational capacity, ranging from prevention to combat"
questões básicas de governança e financiamento não forem resolvidas,basic governance and funding issues are not resolved
o sistema nacional de dfci não produzirá efeitos,the national dfci system will have no effect
são bastante simplistas os discursos passa-culpas que contrapõem a prevenção ao combate,pass-the-blame discourses that oppose prevention to combating
atividades cujo desempenho é interdependente,activities whose performance is interdependent
diminuição recente na % de ocorrências com mais de 1 hectare,recent decrease in the % of occurrences with more than 1 hectare
melhor ataque aos fogos nascentes,best attack on rising fires
as consequências são bastante marginais,the consequences are quite marginal
os incêndios com mais de 100 hectares respondem por cerca de 80% da área ardida total,fires over 100 hectares account for about 80% of the total burned area
"espanha, frança e itália reduziram substancialmente a área ardida na década de 90 e assim a têm mantido","spain, france and italy substantially reduced the area burned in the 1990s and have kept it that way."
o investimento no combate a incêndios não surtiu efeito em portugal,investment in firefighting had no effect in portugal
"estes países partilham as circunstâncias com portugal, nomeadamente o êxodo rural e uma prevenção estrutural que é pouco mais que cosmética","these countries share the circumstances with portugal, namely the rural exodus and a structural prevention that is little more than cosmetic"
falta de progressos na extinção dos fogos que escapam ao ataque inicial,lack of progress in extinguishing fires that escape the initial attack
a mediana do tamanho dos grandes incêndios é em portugal de 260 ha face a 194 ha em espanha (2001-2011),the median size of large fires is 260 ha in portugal compared to 194 ha in spain (2001-2011)
diferença que se alarga para incêndios progressivamente maiores até atingir (percentil 99) respectivamente 8459 ha e 4385 ha,difference that widens for progressively larger fires until reaching (99th percentile) respectively 8459 ha and 4385 ha
um estudo recente da utad com o inesc tec mostrou que em portugal a quantidade de meios alocados aos maiores incêndios não afecta a sua duração e pouco influencia a sua dimensão,a recent study by utad with inesc tec showed that in portugal the amount of resources allocated to the biggest fires does not affect their duration and has little influence on their size
"desde 1982 (!!!) que as insuficiências do combate a incêndios florestais em portugal são sucessivamente e repetitivamente diagnosticadas, realçando as deficiências no controlo perímetral e o não aproveitamento das oportunidades dadas pela variação nas condições e padrões de propagação do fogo","Since 1982 (!!!) the shortcomings in fighting forest fires in Portugal have been successively and repetitively diagnosed, highlighting the deficiencies in perimeter control and the failure to take advantage of the opportunities provided by the variation in the conditions and patterns of fire propagation"
"dá-se por adquirido que o sistema de combate melhorou muito e pouco mais pode evoluir, colocando o ónus nas costas largas do “ordenamento florestal”","it is taken for granted that the combat system has improved a lot and little else can evolve, placing the burden on the broad shoulders of “forest management”"
onde a prevenção está no terreno as oportunidades de contenção resultantes são invariavelmente ignoradas,where prevention is in the ground the resulting containment opportunities are invariably ignored
por ausência,by absence
por inoperância dos meios de combate,due to ineffectiveness of the means of combat
não há milagres e dificilmente se poderá esperar melhor,there are no miracles and you can hardly hope for better
modelo de combate assente no voluntariado,model of combat based on volunteering
moldado e vocacionado para a proteção civil,shaped and geared towards civil protection
pratica a defesa contra incêndios florestais ao invés da defesa da floresta contra incêndios,practices forest fire defense rather than forest fire defense
a proteção florestal é um desígnio nacional,forest protection is a national goal
urge que se deixe de confundir experiência com conhecimento e disponibilidade de meios pesados com capacidade de extinção,it is urgent to stop confusing experience with knowledge and availability of heavy media capable of extinction
"há que evoluir no sentido da formação de brigadas de bombeiros florestais, com funções mistas de prevenção e combate e dirigidas por técnicos com conhecimento especializado e avançado, incluindo as competências de análise de incêndios que são decisivas em ocorrências graves e complexas","it is necessary to evolve towards the formation of forest fire brigades, with mixed functions of prevention and combat and directed by technicians with specialized and advanced knowledge, including fire analysis skills that are decisive in serious and complex occurrences"
os sf nacionais sofreram nas últimas 4 décadas frequentes alterações rumo ao minimalismo,national sfs have undergone frequent changes over the last 4 decades towards minimalism
à instabilidade institucional soma-se a instabilidade nas políticas,institutional instability is compounded by policy instability
a produção de 6 documentos estratégicos florestais de âmbito nacional entre 2003 e 2006 exprime bem as intermináveis alterações ao quadro legislativo e institucional,the production of 6 strategic forestry documents of national scope between 2003 and 2006 well expresses the endless changes to the legislative and institutional framework
as iniciativas desgarradas que regularmente (des)aparecem,the stray initiatives that regularly (dis)appear
a volatilidade da organização dos sf é uma constante desde 2003,the volatility of the sf organization has been a constant since 2003
sucessivas reestruturações orgânicas,successive organic restructurings
a fusão em 2012 com a conservação da natureza que resultou no atual (e futuro?) icnf,the 2012 merger with nature conservation that resulted in the current (and future?) icnf
o sistema nacional de dfci não produzirá efeitos enquanto questões básicas de governança e financiamento não forem resolvidas,the national dfci system will not take effect until basic governance and financing issues are resolved
"atacar a raiz do problema reduzindo o risco inerente ao comportamento humano e construindo paisagens resilientes ao fogo para lá da microescala requer tempo e persistência, além de boa governança","Tackling the root of the problem by reducing the risk inherent in human behavior and building fire-resilient landscapes beyond the microscale takes time and persistence, as well as good governance"
há a referir a diminuição recente na % de ocorrências com mais de 1 hectare,mention should be made of the recent decrease in the % of occurrences with more than 1 hectare
"o investimento no combate a incêndios não surtiu efeito em portugal, o que é imputável à falta de progressos na extinção dos fogos que escapam ao ataque inicial","investment in firefighting had no effect in portugal, which is attributable to the lack of progress in extinguishing fires that escaped the initial attack"
o combate a incêndios absorve o grosso dos custos da gestão do fogo,firefighting absorbs the bulk of fire management costs
desde 1982 (!!!) que as insuficiências do combate a incêndios florestais em portugal são sucessivamente e repetitivamente diagnosticadas,since 1982 (!!!) the shortcomings in fighting forest fires in portugal have been successively and repeatedly diagnosed
"mitigar os impactes negativos dos incêndios exige um módico de boa governança, algo que tem estado largamente ausente da discussão pública","mitigating the negative impacts of fires requires a modicum of good governance, something that has been largely absent from public discussion."
"a volatilidade da organização dos sf é uma constante desde 2003, com sucessivas reestruturações orgânicas","the volatility of the sf organization has been constant since 2003, with successive organic restructurings"
não há tendências de longo prazo na área ardida e ocorrência de grandes incêndios em portugal,there are no long-term trends in the burned area and occurrence of large fires in portugal
"a diminuição recente na % de ocorrências com mais de 1 hectare, mostrando melhor ataque aos fogos nascentes","the recent decrease in the % of occurrences with more than 1 hectare, showing better attack to nascent fires"
"têm ocorrido uma sucessão de reformas que influenciaram efetivamente o percurso das instituições de ensino superior, em particular as instituições do ensino superior politécnico (esp)","there have been a succession of reforms that have effectively influenced the course of higher education institutions, in particular polytechnic higher education institutions (esp)"
inegável papel que estas têm desempenhado em prol do desenvolvimento e da modernização do país,undeniable role that these have played in favor of the development and modernization of the country
"o corpo docente pode também ser constituído por professores especialistas, com atividade desenvolvida fora da instituição, ou seja, com forte ligação a empresas","the faculty can also be made up of specialist professors, with activity developed outside the institution, that is, with strong links to companies"
"a avaliação da atividade dos docentes no ensino politécnico e, como consequência, a sua progressão na carreira, pouco valoriza esta componente","the evaluation of the activity of teachers in polytechnic education and, as a consequence, their career progression, gives little value to this component"
a maioria dos politécnicos têm nas suas fileiras professores com muito pouca ou mesmo sem qualquer experiência profissional,most polytechnics have teachers in their ranks with very little or no professional experience
"a grande maioria dos professores do esp estão ligados a centros de investigação, desenvolvendo a sua carreira científica nestas estruturas","the vast majority of esp professors are linked to research centers, developing their scientific careers in these structures"
"o estatuto da carreira docente veio aproximar os dois sistemas de ensino, desencorajando, de forma quase natural, os professores do ensino politécnico a desenvolverem a sua atividade fora da instituição","the teaching career statute brought the two education systems closer together, almost naturally discouraging polytechnic teachers from developing their activity outside the institution"
o nível de ensino profissional no seio de instituições de ensino superior exige um corpo docente específico e com uma verdadeira ligação ao mundo empresarial,the level of professional education within higher education institutions requires a specific teaching staff with a real connection to the business world
a componente prática exige também equipamentos modernos que acompanhem a evolução da tecnologia utilizada nas empresas,the practical component also requires modern equipment that follows the evolution of the technology used in companies
não há capacidade económica para reforçar as instituições de ensino superior com vista à modernização das suas infraestruturas,there is no economic capacity to strengthen higher education institutions with a view to modernizing their infrastructure
"os responsáveis do atual governo têm mostrado interesse em fazer algumas alterações, mas de uma forma pouco clara, mostrando mesmo alguma desorientação","those responsible for the current government have shown interest in making some changes, but in an unclear way, even showing some disorientation"
"não descartando a hipótese dos politécnicos desenvolverem projetos de investigação científica e tecnológica, ainda pretendem que se fomente e desenvolva o ensino profissionalizante","not discarding the hypothesis of polytechnics developing scientific and technological research projects, they still intend to promote and develop vocational education"
"pretendem fazer tais alterações, ignorando, por um lado, o verdadeiro potencial das instituições politécnicas e, por outro, esquecendo que para exigir é preciso ter soluções","intend to make such changes, ignoring, on the one hand, the true potential of polytechnic institutions and, on the other hand, forgetting that in order to demand it is necessary to have solutions"
