pt,en
psicólogos,psychologists
fisiologistas,physiologists
biomecânicos,biomechanical
etc.,etc.
espera-se,Expected
retribuições,retributions
convicções,convictions
tentações,temptations
divagações,ramblings
opinadores,opinionators
comprometam,commit
h,H
criteriosa,judicious
sistemática,systematic
multidisciplinarmente,multidisciplinary
profundamente,deep
complexa,complex
instável,unstable
encontrarmos,we find
acredite,believe it
encontraremos,we will find
encontrado,found
considerada,considered
equação,equation
passo,step
petulância,petulance
propósito,purpose
far-se-ão,will do
necessariamente,necessarily
rainha,queen
transcendência,transcendence
absoluta,absolute
arrepiou-me,chilled me
brasileiros,Brazilians
recorrentemente,recurrently
sinónimo,synonym
jjpp,jjpp
phelps,phelps
marginal,marginal
medalhado,medalist
subida,climb
poda,pruning
mostrar,Show
empatar,tie
coisinha,little thing
risos,laughs
festejos,festivities
choros,cries
lágrimas,tears
caem,fall
bandeira,flag
sobe,rise
precisamos,we need
choramos,we cry
mesmas,same
enfrentá-los,face them
fado,fado
branqueemos,let's whiten
realidades,realities
favoráveis,favorable
reflitamos,let's reflect
acerca,about
cabeça,head
fria,cold
competente,competent
informada,informed
bastaria,would suffice
tranquila,quiet
concretizaram,materialized
cpp,cpp
ultrapassados,outdated
igual,equal
modo,mode
simplisticamente,simplistically
errado,wrong
agita-se,shake
assiste-se,watch yourself
alarme,alarm
cineastas,filmmakers
realizadores,directors
produtores,producers
favorecidos,favored
filmes,films
anuncia,announces
mexer,to mix
cinema,movie theater
protegidos,protected
escrutínio,scrutiny
ignaro,ignorant
boçal,nozzle
viciado,addicted
consumo,consumption
películas,films
americanas,americans
estafado,tired
argumento,argument
decidir,decide
definem,define
seguem,follow
instituídas,instituted
modelos,models
grupo,group
abaixo-assinado,undersigned
divulgado,disclosed
pedia,asked
devolvesse,return
jurados,jurors
decidem,decide
tenham,have
índices,indexes
produzidos,produced
per,per
capita,capita
normais,normal
exibido,displayed
filme,film
ultrapassa,surpasses
vistos,visas
autoria,authorship
subscritores,subscribers
acham-se,are found
financiados,financed
arte,art
trata,treats
dinheiros,money
omitem,omit
disfarçada,disguised
visados,targeted
verbas,funds
entregar,deliver
vêem,see
cinemateca-museu,cinematheque-museum
acontece,it happens
investe,invest
cêntimo,cent
aberrante,aberrant
aplicasse,apply
teríamos,we would have
condenar,condemn
implacavelmente,relentlessly
comerciais,commercials
chaplin,chaplin
hitchcock,hitchcock
capra,capra
fellini,fellini
visconti,visconti
kubrick,kubrick
pressionar,press
altere,change
perpetuar,perpetuate
lobby,lobby
dominado,dominated
favoreceram,favored
morto,dead
proibido,forbidden
filmar,film
chumbados,sinkers
viu,it saw
sistematicamente,systematically
rejeitados,rejected
eleitos,elected
fechadas,closed
curtas-metragens,short films
trabalhar,work
publicidade,publicity
escrever,write
dirigir,to drive
telenovelas,soap operas
caiba,fits
escolhidos,selected
representante,representative
favorecendo,favoring
estética,aesthetics
focar,to focus
eternizar,immortalize
directo,direct
rever,to review
lamentavelmente,regrettably
conveniente,convenient
manto,cloak
silêncio,silence
oculta,Hidden
aberrantes,aberrants
promíscuas,promiscuous
deu,He gave
mote,motto
ponha,put
cobro,charge
tome,take
legais,cool
consagrem,consecrate
permita,allow
reconquiste,win back
aproxime,approach
médias,averages
dedo,finger
alarmante,alarming
encontramos,we found
chegando,arriving
distribuidores,distributors
canais,channels
qualifica,qualify
estrelinhas,little stars
especializada,specialized
remete,refer
desprezível,negligible
assinam,sign
cometem,commit
pecado,sin
recolher,to recall
favores,favors
elevados,high
exiguidade,smallness
artista,artist
prolongar,extend
soviético,soviet
criava,created
bilhetes,tickets
apoiar,support
instituía,instituted
júris,juries
controlava,controlled
feitos,deeds
destinatários,recipients
deduz,deduces
paga,pay
realiza,performs
representados,represented
associações,associations
órgão,organ
consultivo,advisory
seca,dry
nomeados,nominated
perpetuação,perpetuation
aberração,aberration
conduziu,led
adversário,adversary
defesas,defenses
lesionados,injured
senhor,Mr
atleta,athlete
geração,generation
gostei,liked it
capitão,captain
construir,ramp up
admirei,admired
apreciei,I appreciated
deliciei-me,I enjoyed myself
toque,Touch
comentar,comment
pessoa,people
personalidade,personality
gratificante,gratifying
carismático,charismatic
alegre,joyful
espontâneo,spontaneous
exuberante,lush
empreendedor,entrepreneur
motivador,motivator
nato,born
jeito,way
amargo,bitter
boca,mouth
doce,sweet
espera,wait
inteligente,intelligent
abordagem,approach
psicologicamente,psychologically
gerações,generations
parecidas,similar
pertencer,to belong
administração,management
eticamente,ethically
reprovável,reprehensible
aconselha,advises
abster-se,abstain
preferido,preferred
revêem,review
preferência,preference
indivíduos,individuals
dizem,say
opinem,opine
enamorados,in love
encerrados,closed
conscientemente,consciously
alheados,oblivious
deslumbra-os,dazzles them
torna-os,make them
autistas,autistic
completamente,completely
descabido,misplaced
misturar,mix
religião,religion
outra,other
deus,God
obrigação,obligation
representar,represent
modos,modes
trás,back
sub-política,sub-policy
actuar,act
consideram,consider
perigosos,dangerous
desígnios,designs
funcionários,employees
concordam,agree
expõem,expose
denunciam,denounce
anómalas,anomalous
oposição,opposition
etc,etc
acaba-se,it's over
instituir,institute
censurável,objectionable
julga,judge
dono,owner
disposto,willing
rebaixar-se,stoop
exercer,exercise
defender,defend
engrandece,magnify
exalta,exalts
autores,authors
disciplinas,subjects
integram,integrate
fortalecido,strengthened
simbólico,symbolic
celebra,celebrate
caros,expensive
atribuído,assigned
1º,1st
chamou,called
relâmpago,lightning
azul,blue
intensidade,intensity
súbita,sudden
mobilizadora,mobilizing
surgiu,emerged
extinguir,extinguish
prometendo,promising
obscuros,obscure
assegurar,to secure
lembrando-lhes,reminding them
solidário,sympathetic
spa,spa
regeu,ruled
fortaleceram,strengthened
cidadania,citizenship
abril,April
outorgar,bestow
une,unite
fortalece,strengthens
mobiliza,mobilizes
lembra,remember
crivo,sieve
censura,censorship
criadores,creators
coliseu,Coliseum
universalizante,universalizing
afirma,says
sala,living room
espectáculos,shows
histórica,historical
consonância,consonance
pioneira,pioneer
edifício,building
passos,steps
ancorado,anchored
ultrapassado,outdated
urbana,urban
devolver,give back
entretenimento,training
conteúdos,contents
musicais,musicals
tivesse,had
passiva,passive
subserviente,subservient
narrativa,narrative
conhecida,known
ensaio,rehearsal
rigoroso,strict
cientificamente,scientifically
afectiva,affective
colectiva,collective
actualizou-se,updated
misericórdias,mercies
atenta,attentive
adoptou-o,adopted it
relegitimou-o,re-legitimized it
indesejável,undesirable
admirar,to admire
garantia,Warranty
troca,replacement
artística,artistic
reduz,reduce
versus,versus
tabela,table
preços,prices
entrar,log in
agonia,agony
fase,phase
olhou,He looked
distraiu-se,got distracted
acontecia,happened
catarse,catharsis
lastro,ballast
pertence,belongs
orgulho,proud
exibições,exhibitions
comícios,rallies
históricos,historical
leva,takes
revelar-se,reveal yourself
pensamento,thought
permanência,permanence
desejava,wished
magnífica,magnificent
projectada,projected
cassiano,cassian
branco,white
constituiu-se,constituted
gramática,grammar
portuense,portuguese
vieram,came
museu,museum
contemporânea,contemporary
serralves,serralves
música,music
teatro,theater
geometria,geometry
juntam-se,join
casas,houses
ressonâncias,resonances
rivoli,rivoli
municipal,municipal
resgatado,rescued
restituído,returned
definitivamente,definitely
evidência,evidence
arriscamo-nos,we risk
fenómeno,phenomenon
irrepetível,unrepeatable
precisava,needed
reorientar,reorient
complementaridade,complementarity
valorizando,valuing
prestar,give
inclusivo,inclusive
multigeracional,multigenerational
hegemónico,hegemonic
heterotopia,heterotopia
reivindica,claims
filósofo,philosopher
empreendedora,entrepreneur
cosmopolitas,cosmopolitan
evocar,evoke
seguros,insurance
comemora,celebrate
elogio,compliment
conjuga,conjugates
agradecimento,acknowledgment
celebração,celebration
comunica,communicates
caleidoscópio,kaleidoscope
ecos,echoes
ouvem,listen
salas,rooms
chegam,arrive
arbitragem,arbitration
detectados,detected
aumentámos,we increased
contínua,to be continued
melhorámos,we improved
melhorado,improved
preparados,prepared
nomeações,appointments
sinais,signals
satisfação,satisfaction
vindos,coming
ligadas,connected
decepcionados,disappointed
desinformação,disinformation
prevalece,prevails
contamina,contaminates
teremos,we will have
receio,fear
agravamento,aggravation
preferimos,we prefer
evitá-las,avoid them
pedagogia,pedagogy
sabem-no,know it
tornou-se,has became
nomeada,named
porta-voz,spokesperson
ocorrerem,occur
tecla,key
árbitro,referee
frustrantes,frustrating
analisa,analyze
crer,believe
medíocre,mediocre
rigorosos,rigorous
isentos,exempt
infalíveis,infallible
tomei,drank
manifestando,manifesting
tom,tone
polémicas,controversies
repetindo,repeating
costumeiras,customary
discussões,discussions
laborais,labor
monopolista,monopolist
educativo,educational
traços,strokes
gerais,general
tristemente,sadly
existia,existed
vigência,validity
grassa,rages
diferentes,many different
passando,passing
apologista,apologist
instituiu,instituted
aplicado,applied
fracturantes,fracturing
sexualidade,sexuality
estruturante,structuring
futura,future
directrizes,guidelines
sujeitas,subject
inalienável,inalienable
famílias,families
elaborarem,elaborate
apresentaram,presented
educativos,educational
acreditam,believe
reconhecido,recognized
escolherem,choose
entenderem,understand
usa,use
motiva,motivates
obsoleta,obsolete
responde,responds
actualmente,currently
claríssima,very clear
nº2,#2
43º,43rd
programar,program
filosóficas,philosophical
estéticas,aesthetics
ideológicas,ideological
religiosas,religious
devendo,owing
espelhar,mirror
família,family
entende,you see
sente,feel
voltou,came back
discutida,discussed
excelente,great
atroz,atrocious
senão,if not
má-fé,bad faith
resulta,results
malefícios,harm
afectam,affect
sobremaneira,exceedingly
cerne,core
fracturante,fracturing
coloca-se,put yourself
optando,opting
esclarecidamente,enlightened
defendem,defend
pensamos,we think
discordem,disagree
turno,shift
básico,basic
trocar,to replace
pudessem,could
encontrar,meet
estivesse,were
desejam,wish
educandos,students
pura,pure
encapotada,cloaked
ditadura,dictatorship
desrespeita,disrespects
perigosa,dangerous
pretendeu,intended
linear,linear
ensinar,to teach
aprender,learn
surgem,They emerge
pontualmente,punctually
estéreis,sterile
atiram,shoot
areia,sand
ajudam,help
senhores,gentlemen
feudais,feudal
detentores,holders
teia,Web
obscura,obscure
definir,to define
subversiva,subversive
acontecendo,happening
evoluídos,evolved
aspirar,aspire
pilar,cornerstone
herdou,inherited
totalitárias,totalitarian
próprias,own
monolítica,monolithic
amordaça,gag
despreza,despise
constitucional,constitutional
famoso,famous
merecimento,worthiness
pilhéria,joke
noites,nights
boom,boom
especulação,speculation
alojamento,accommodation
acentuou,accentuated
expulsão,expulsion
centro,center
brutal,brutal
rendas,lace
conversão,conversion
massiva,massive
arrendamento,lease
pedidos,requests
licenciamento,licensing
criaram,created
pressão,pressure
insuportável,unbearable
permanecem,remain
dificultam,make difficult
plataformas,platforms
airbnb,airbnb
desregulada,unregulated
permitindo,allowed
metade,half
registados,registered
paguem,pay
fisco,tax
regulado,regulated
disciplinado,disciplined
contribui,contributes
afectar,affect
sem,without
desfigurar,disfigure
bastam,enough
intenções,intentions
precisas,accurate
toma,take
exigia-se,it was required
cmp,cmp
liderasse,lead
desconhece-se,unknown
transformar-se,transform
condomínio,condominium
reabilitação,rehabilitation
proliferação,proliferation
indiscriminada,indiscriminate
co-financiados,co-funded
comunitários,community
mantendo,keeping
intactas,intact
fachadas,facades
edifícios,buildings
traduzido,translated
habitação,housing
suspendeu,suspended
criou,created
delinear,outline
adequa,suit
regulamentaram,regulated
online,online
coimas,fines
incumprimento,default
turistificação,touristification
conquistar,win
aniversário,birthday
motivou,motivated
perversos,wicked
massas,pastas
critica,criticize
desregulação,deregulation
pondo,putting
conhecidas,known
imobiliários,real estate
ritmo,rhythm
acelerado,accelerated
urgentes,urgent
tornar,become
irreversível,irreversible
sintomas,symptoms
anunciada,announced
paliativas,palliatives
tapar,close
sol,Sun
peneira,sieve
clivagem,cleavage
abriu,opened
iniciar,start
lidera,leads
considera-se,it is considered
doentio,sick
indignação,indignation
queixume,complain
perde,loses
ofuscar,overshadow
lesionado,injured
percepção,perception
influenciado,influenced
pontos,spots
nivelado,level
alegada,alleged
imparcialidade,impartiality
série,series
sectarismo,sectarianism
aproximadamente,about
admitiam,admitted
oferta,offer
prostituição,prostitution
prendas,gifts
proteccionismo,protectionism
perdões,pardons
fiscais,tax
indevida,undue
reflectir,reflect
conflitos,conflicts
regulados,regulated
geridos,managed
“,""""
legítimo,lawful
tendem,tend
filiação,filiation
transparente,transparent
acusados,accused
sectários,sectarians
acabam,end up
descortinaras,you will unveil
fraco,weak
aparente,apparent
tutelam,protect
enterrar,bury
atendendo,attending
in)felizmente,unfortunately
prejuízo,prejudice
ruído,noise
normal,normal
expectável,expectable
rotativismo,turnover
concentração,concentration
totalidade,totality
obviamente,obviously
convém,it suits
beneficia,benefits
elevar,elevate
queixa,complaint
projetado,designed
praça,square
flores,flowers
urbanos,urban
patamar,level
preocupante,worrisome
arquitetos,architects
intervirem,intervene
originalmente,originally
obstáculos,obstacles
arquitetónica,architectural
presa,prey
superficial,superficial
desinteressante,uninteresting
condicionam,condition
tipologias,typologies
uniformização,standardization
intervenções,interventions
aumentam,increase
volume,volume
construído,built
desvirtuando,misrepresenting
irrelevantes,irrelevant
limitações,limitations
contribuem,contribute
empobrecimento,impoverishment
próprios,own
honorários,fees
limitados,limited
pressuposto,assumption
clientes,customers
prefiram,prefer
avançar,advance
fachada,facade
aprovação,approval
câmaras,chambers
mostrem,show
avessos,inverse
potencialmente,potentially
polémicos,controversial
condenação,conviction
estudos,studies
avaliados,evaluated
apoiando,supporting
preferencial,preferential
reverso,reverse
atraírem,attract
renome,renown
argumentação,argumentation
sustentada,sustained
incentiva,encourages
esventramento,disembowelment
existentes,existing
pernicioso,pernicious
generalização,generalization
surpreender,surprise
fachadismo,facadeism
raras,rare
tornam,make
abundam,abound
comércio,business
avenida,avenue
aliados,allies
esventrado,gutted
mantida,maintained
monumental,monumental
estagna,stagnates
condenar-se,condemn yourself
esvaziamento,emptying
autêntica,authentic
supõe-se,it is supposed
estético,aesthetic
investigadores,investigators
incluída,included
imprescindível,essential
concretização,realization
desempenham,play
permanentes,permanent
continuem,continue
avaliações,assessments
associado,associate
lapso,lapse
esqueceu,he forgot
tentou,tried
deliberadamente,deliberately
ocultar,hide
texto,text
governativo,governmental
termo,term
ciência,science
restringem,restrict
convidados,guests
apresentados,presented
correspondem,correspond
oficialmente,officially
parágrafo,paragraph
ambíguo,ambiguous
incluí-los,include them
interpretação,interpretation
contratadas,hired
mão-de-obra,labor
habituais,usual
mencionados,mentioned
explicitada,explicit
ensurdecedor,deafening
deficit,deficit
regularização,regularization
científicos,scientific
definitiva,definitive
apresenta,features
suplementares,supplementary
cesse,cease
sindical,union
precariedade,precariousness
heitor,Hector
merece,deserve
larga,wide
historial,history
chamados,called
laboratório,laboratory
ilab,ilab
recentes,recent
evidentes,evident
precários,precarious
desajustados,misfits
exercidas,exercised
incerto,uncertain
rescindido,terminated
contribuição,contribution
investigam,investigate
candidataram,applied
seletivos,selective
selecionados,selected
apresentar,to present
item,item
adequação,adequacy
queriam,wanted
merecida,deserved
reatualizada,updated
coordenar,coordinate
sólida,solid
reputação,reputation
atento,attentive
indo,going
contratados,hired
apontadas,pointed
subordinação,subordination
hierárquica,hierarchical
horário,schedule
completo,complete
explicitado,explicit
desempenharem,play
arrancar,rip out
parquímetros,parking meters
emblemático,emblematic
mal-estar,malaise
provocado,provoked
majestática,majestic
publico,public
marcação,marking
chão,floor
acrescentado,added
desenhar,to design
cobrar,demand
estacionamentos,parking lots
obrigou,forced
construções,buildings
estacionamento,parking
telheiras,sheds
parques,parks
privados,private
resto,rest
pracetas,squares
tarifado,charged
subterrâneos,underground
silos,silos
dificultar,hinder
combustíveis,fuels
usurpação,usurpation
moralizar,moralize
rotatividade,turnover
ocupado,busy
dupla,pair
perfeita,perfect
promove,promotes
explora,explore
habituados,accustomed
arteroesclerose,atherosclerosis
viária,road
damos,we give
progressivo,progressive
afastamento,removal
periferias,peripheries
desertificando,desertifying
orçamentos,budgets
participativos,participatory
implementado,implemented
jfc,jfc
contrapartida,counterpart
instalação,installation
escassez,scarcity
encaram,face
afastar,to put away
incomportável,unbearable
zonas,zones
antigas,old
mobilidades,mobility
andam,walk
segways,segways
trotinetes,scooters
skates,skateboards
eléctricos,electrical
explicação,explanation
isenções,exemptions
retirado,withdrawn
sítios,sites
preço,price
licenças,licenses
residentes,residents
pagas,paid
restauração,restoration
obrigar,Force
carro,car
hídrica,water
sítio,place
implantação,implantation
comportar,behave
testemunhos,testimonies
arqueológicos,archaeological
geomorfológicas,geomorphological
segue,Follow
exigidos,required
fixação,fixation
inauguração,Opening
mês,month
outubro,October
conveniência,convenience
arqueologia,archeology
retome,resume
prospecção,prospection
suspensos,suspended
sondagens,polls
arqueológicas,archaeological
desenvolver-se,develop
decorre,it follows
suspensas,suspended
retomadas,retakes
condicionados,conditioned
concluídas,completed
descoberta,discovery
constituir,constitute
amplo,broad
alcobaça,Alcobaça
vazio,empty
histórico-arqueológico,historical-archaeological
romana,roman
perfeitamente,perfectly
fundacionais,foundational
templo,Temple
mausoléu,mausoleum
considerando,considering
diversidade,diversity
civilizações,civilizations
pré-cisterciense,pre-Cistercian
assentamento,settlement
terras,lands
encontradas,found
logicamente,logically
subsiste,subsists
firme,firm
convicção,conviction
parece-nos,it seems to us
virtude,virtue
enunciado,statement
parecem,seem
afirmativa,affirmative
atentando,paying attention
sustentado,sustained
dinâmica,dynamics
concelho,county
balanço,balance
atualizar,to update
desejos,wishes
magia,Magic
explica-se,it is explained
cíclica,cyclic
sucedem,succeed
renovando-se,renewing itself
sonhos,dreams
marcada,marked
acentuar,accentuate
conflituosidade,conflict
desconfiança,distrust
contribuíram,contributed
fatores,factors
identificados,identified
maximização,maximization
vazios,voids
esmagadora,overwhelming
termina,ends
saudades,miss you
euforia,euphoria
surpreendidos,surprised
imprevisível,unpredictable
incompreensível,incomprehensible
amarga,bitter
acabado,finished
despedido,fired
trazia,brought
contestada,contested
escolhido,chosen
desaires,setbacks
aumentaram,increased
bracarenses,Braga
sublinhe-se,stand out
gozava,enjoyed
empatia,empathy
fugaz,fleeting
comando,command
rasto,trail
desenhar-se,draw yourself
saíram,left
plantéis,squads
explica,explain
santo,Holy
geriu,managed
suspirou-se,sighed
ficasse,stay
brilhava,glowed
chaves,keys
acreditarem,believe in
inédita,unprecedented
pedreira,quarry
diante,against
moreirense,moreirense
batizou,baptized
consolida,consolidates
títulos,titles
duelo,duel
pulmão,lung
músculo,muscle
cérebro,brain
enjeitando,rejecting
suspeição,suspicion
adensa,dense
classe,class
ingrata,ungrateful
momentânea,momentary
desenganem-se,give up
estarolas,stooges
impressiona,impress
vertigem,vertigo
vociferante,vociferous
vossos,your
papagaios,parrots
omnipresentes,omnipresent
reportagens,reports
treinos,workouts
toneladas,tons
abatidas,slaughtered
imprimir,print out
anedotas,anecdotes
endeusar,deify
vulgares,vulgar
festas,parties
antecipadas,anticipated
importam,care
crédito,credit
demoraria,it would take
gastar,to spend
arrastando,dragging
hegemonia,hegemony
escalão,echelon
chegaram,They arrived
andamos,we walk
longos,long
persistimos,we persist
bairristas,locals
industriosos,industrious
vimaranenses,Guimarães
ambicionar,covet
confunda,confuse
flor,flower
apaixone,fall in love
aroma,aroma
vitoriano,Victorian
arrebate,snatch
fátuo,fatuous
consome,consume
alma,soul
carácter,character
intemporal,timeless
aguenta,hold on
incapazes,incapable
orgulharmo-nos,be proud
herdado,inherited
transmiti-lo,transmit it
alberga,houses
milenar,millennial
herança,heritage
registem,register
fases,phases
interpretada,interpreted
pertencente,belonging
tardo-romana,late roman
visitado,visited
abandonadas,abandoned
arruinadas,ruined
sucedeu,happened
vandalizadas,vandalized
sorrateira,sneaky
ignóbil,ignoble
continuação,continuation
contemplasse,contemplate
arqueológica,archaeological
passeio,tour
fruição,fruition
arqueológico,archaeological
funcionar,work
mais-valia,added value
pedagógico,pedagogical
escavações,excavations
artefactos,artifacts
acresçam,add
identificado,identified
historiador,historian
assuntos,matters
escravatura,slavery
continuaria,would continue
negreiros,slavers
chicotes,whips
separação,separation
forçada,forced
injustiças,injustices
atrocidades,atrocities
relativas,relative
negra,black
africanos,africans
brancas,white
negras,black
lutaram,fought
xviii,xviii
pôr,per
inútil,useless
profusamente,profusely
debatido,debated
repito,I repeat
compreensível,understandable
abordam,approach
dramas,dramas
horror,horror
distanciamento,detachment
vingado,avenged
durban,durban
agenda,schedule
mantém-se,keeps up
viva,alive
prossegue,continue
tráfico,traffic
escravidão,slavery
queira,want
reivindicações,claims
assistimos,we watched
nasceram,were born
obedecem,obey
imitação,imitation
reivindicativa,claim
afinada,tuned
dar-me,give me
arrepia,shivers
desgraçados,bastards
cruzam,cross
mediterrâneo,Mediterranean
barquinhos,little boats
frequentemente,often
afundam,sink
crianças,children
forçadas,forced
prostituir-se,prostitute oneself
formas,shapes
florescem,bloom
passemos,let's pass
interligadas,interconnected
escrevi,I wrote
confusões,confusions
olha,look
emocional,emotional
moral,moral
compulsão,compulsion
sentimentos,feelings
juízos,judgments
daí,so
activistas,activists
firmemente,firmly
convencidos,convinced
ocidentais,westerners
únicos,unique
enfrentam,face
causadas,caused
surgiram,emerged
ideologicamente,ideologically
engatilhadas,cocked
disparar,shoot
inúmeros,countless
recordes,records
regular,regular
arranque,start
dinastia,dynasty
magic,magic
kobe,kobe
universitários,College students
curry,curry
juntaram-se,joined
argúcia,shrewdness
antídoto,antidote
aspectos,aspects
durant,during
cristaliza,crystallizes
invencível,invincible
monstro,monster
basquetebolístico,basketball
lebron,lebron
obstáculo,obstacle
precisar,to need
minutos,minutes
pernas,legs
descanso,rest
assinaram,signed
físico,physicist
valem,are worth
renovações,renovations
tecto,ceiling
salarial,salary
disparou,shot
injecção,injection
próximo,next
prescindível,expendable
reclamar,complain
barreira,barrier
warriors,warriors
romper,break up
punição,punishment
horizonte,horizon
pavilhão,Pavilion
consensuais,consensual
domínio,domain
conversa,conversation
começava,started
estendia-se,stretched out
tempestade,storm
certas,certain
dose,dose
corra,run
amigos,friends
teoria,theory
concretizado,accomplished
define,defines
sobranceria,swagger
arbitrariedade,arbitrariness
interromperam,interrupted
estatística,statistic
chegarem,arrive
fome,hungry
perto,near
violam,violate
cavs,cavs
fiquem,stay
aburguesamento,gentrification
juntos,together
saudáveis,healthy
humildes,humble
cristalizar-se-á,will crystallize
pedir,ask
licença,license
panteão,Pantheon
adoro,love
cativo,captive
olimpo,Olympus
decidiu,decided
deleite,treat
pedacinho,little piece
fixe,cool
bastara-me,enough for me
rosas,roses
varrer,to sweep
limpar,clean
champions,champions
sai,leaves
murro,punch
estômago,stomach
madeirense,Madeiran
alegadamente,allegedly
lusa,portuguese
nuestros,nuestros
hermanos,brothers
diga,say it
trapalhada,mess
arrasa,rocks
prejudicar,harm
madrid,madrid
desculpar,apologize
indesculpável,inexcusable
infracção,infringement
fiscal,Supervisor
provável,likely
zilionário,zillionaire
estratosférico,stratospheric
certamente,Certainly
dívidas,debts
obscenos,obscene
mortal,mortal
surpresa,surprise
vizinho,neighbor
nadal,nadal
mourinho,mourinho
arriscam-se,risk
fazê-lo,do it
dependerá,will depend
demonstrar,to demonstrate
rocambolesca,rocambolesque
omissa,omitted
mínimo,Minimum
fraude,fraud
seguidores,followers
arrasava,rocked
fugia,run away
majestade,majesty
parece-me,it seems to me
devidamente,properly
ganha-pão,breadwinner
perseguição,persecution
caça,hunting
luso,portuguese
implacável,relentless
hacienda,hacienda
resolva,solve
devidos,due
forem,are
cometer,commit
quantia,amount
juros,fees
fiscalía,fiscal
tributar,tax
reportem,report
estrangeiro,foreign
vilas,villages
existiram,existed
forais,charters
adotaram,adopted
constituições,constitutions
comparável,comparable
proclamação,proclamation
abandonado,abandoned
limitadas,limited
igualdade,equality
instância,instance
garantias,guarantees
falhas,flaws
reclamações,claims
coletivas,collective
dispor,dispose
inclusivamente,inclusively
estratégias,strategies
auditados,audited
pertinente,relevant
efetivação,effectiveness
mediações,mediations
fórum,forum
reunido,gathered
julho,July
bem-sucedida,successful
disporá,will have
concedidos,granted
ditados,sayings
construídas,built
cidadãs,citizens
notamos,we noticed
violações,violations
dissipar-se,dissipate
são,are
orientar,guide
critérios,criteria
anúncio,announcement
móno,mono
velhinho,old man
prepara,prepare
intervencionado,intervened
restaurar,to restore
largo,wide
feliz,happy
invasão,invasion
exóticos,exotic
anda,come on
descaracterização,mischaracterization
acelerada,accelerated
patrimonial,patrimonial
confundida,confused
condenando,condemning
resta,remains
interiores,interiors
oitocentistas,nineteenth century
pasme-se,be amazed
pombalinos,dovecotes
janelas,windows
verdes,greens
pára,for
bombardeada,bombed
esplêndida,splendid
antão,ant
nascer,born
cratera,crater
preso,stuck
arames,wires
palácio,palace
belíssima,Wonderful
integralmente,fully
demolido,demolished
jóia,jewel
teimosamente,stubbornly
ameaçado,threatened
indescritível,indescribable
albergar,shelter
judaico,Jewish
emblemática,emblematic
pombalina,dovetail
desapareceu,it disappeared
fim-de-semana,weekend
rasa,shallow
camarária,council
protecção,protection
sujeita,subject
típica,typical
conservada,conserved
cirurgicamente,surgically
abatida,the crash
mamarracho,mamarracho
quinhentista,sixteenth
escapou,escaped
milagrosamente,miraculously
hecatombe,hecatomb
esventrada,gutted
alternativas,alternatives
mesquita,mosque
superfícies,surfaces
envidraçadas,glazed
contrasta,contrasts
violentamente,violently
rodeiam,surround
terraços,terraces
único,single
insere,insert
escusado,needless
provocador,provocative
revestimento,coating
azulejos,tiles
tremenda,tremendous
azulejar,tile
prédio,building
tabuletas,tablets
defronte,opposite
apontado,pointed
inventários,inventories
chaga,sore
corrigir,correct
recupere,recover
a,The
original,original
seculo,century
xix,xix
registo,registration
fotográfico,photographic
recupera,recover
acrescentando-lhe,adding to it
andar,walk
mansarda,attic
empenhadas,committed
consenso,consensus
demorou,delayed
oferecem,offer
recuperação,recovery
recanto,nook
eleição,election
chiado,wheezing
pois,because
parabéns,Happy birthday
construtora,construction company
catastrófica,catastrophic
habituado,accustomed
direcção-geral,general directorate
atrasados,late
inteligência,intelligence
nativa,native
burgo,burg
insiste,insists
desvalorizar,devalue
pastiche,pastiche
distraída,distracted
conivente,conniving
atentados,attacks
sofrido,suffered
parar,stop
restaurantes,restaurants
bares,bars
panóplia,panoply
trendy,trendy
reanimaram,revived
imobiliário,real estate
maciço,massive
construiu,built
amiga,friend
evidentemente,evidently
trazem,bring
inconvenientes,inconveniences
muitíssimo,very much
questionável,questionable
bonita,pretty
cosmopolita,cosmopolitan
lisboetas,lisbon
arriscam,risk
escasseiam,scarce
creches,kindergartens
impossível,impossible
complicado,complicated
enfiar,shove
imagine-se,imagine yourself
loucura,craziness
autocarro,bus
abarrotar,cram
revistas,magazines
sunset,sunset
cerveja,beer
artesanal,artisanal
hambúrguer,Burger
latas,cans
conserva,canned
vintage,vintage
alimentação,food
estorvo,hindrance
apanhar,to take
televisivas,television
eco-friendly,eco-friendly
idosos,seniors
casais,couples
altas,high
degradados,degraded
dependem,depend
abandonada,abandoned
invadidos,invaded
hipsters,hipsters
bicicleta,bicycle
recebe,receive
tornado,tornado
atracção,attraction
logro,deception
humanamente,humanly
instauradora,initiator
promotora,promoter
prende-se,hold on
globalidade,globality
psíquica,psychic
espiritual,spiritual
libertaram,freed
cegos,blind
clubismos,clubs
particularismos,particularisms
reducionismos,reductionisms
libertadores,liberators
mostram,show
capazes,able
pontes,bridges
direções,directions
caducos,obsolete
continuarão,will continue
decrépitas,decrepit
progresso,progress
precisa,it needs
urgentemente,urgently
transcenderam,transcended
façam,do
coletivo,collective
oferecido,offered
conflitualidade,conflict
valia,worth
pedagógica,pedagogical
resume,resume
unicamente,only
deveremos,we should
coopetição,coopetition
misto,mixed
concertação,concertation
dificuldade,difficulty
encontrarão,will find
inovar,innovate
reformar,reform
exigente,demanding
diariamente,daily
desloca,move
concelhos,counties
automobilistas,motorists
utilizadores,users
aproveitando,enjoying
